id,ime,tema,podtema,leto,st_setov,novo,rabljeno
1463,"Duplo Figure Dora the Explorer, Boots The Monkey",DUPLO,Dora the Explorer,2004,1,6.09,9.44
2327pb01,"Duplo 2 x 2 x 2 Figure Brick, Blue Base, Striped Overalls, Black Hair, Large Eyes, Freckles on Nose",DUPLO,Basic Set,1994,11,0.5,0.19
2327pb03,"Duplo 2 x 2 x 2 Figure Brick, Blue Base with Yellow Bow, Yellow Head, Red Female Hair",DUPLO,Basic Set,1994,7,,0.16
2327pb04,"Duplo 2 x 2 x 2 Figure Brick, Blue Base with Sailboat Pattern, White Head with Freckles, Black Male Hair",DUPLO,Basic Set,1991,3,2.28,0.23
2327pb05,"Duplo 2 x 2 x 2 Figure Brick, Blue Base with Suspenders, White Head with Freckles on Nose, Red Male Hair",DUPLO,Basic Set,1991,8,,0.2
2327pb06,"Duplo 2 x 2 x 2 Figure Brick, Green Base with White Collar and Red Heart Buttons, Yellow Head, Dark Orange Female Hair",DUPLO,Basic Set,1994,3,1.1,0.37
2327pb07,"Duplo 2 x 2 x 2 Figure Brick, Green Base with Rust Overalls and Wrench Pattern, White Head with Eyelashes, Yellow Female Hair",DUPLO,Basic Set,1991,5,2.28,0.3
2327pb08,"Duplo 2 x 2 x 2 Figure Brick, Red Base with Blue Argyle Sweater Pattern, Yellow Head with Freckles on Nose, Dark Orange Male Hair",DUPLO,Basic Set,1995,3,,0.2
2327pb09,"Duplo 2 x 2 x 2 Figure Brick, Red Base with Number 1 Race Pattern, White Head, Black Male Hair",DUPLO,Basic Set,1993,2,,
2327pb10,"Duplo 2 x 2 x 2 Figure Brick, Yellow Base with Red Collar and Red Heart Buttons, White Head with Eyelashes, Red Female Hair",DUPLO,Basic Set,1991,9,,0.16
2327pb11,"Duplo 2 x 2 x 2 Figure Brick, Grandmother, Green Base, Gray Hair, Yellow Face",DUPLO,Basic Set,1994,3,,0.27
2327pb12,"Duplo 2 x 2 x 2 Figure Brick, Dog, Black Base with Collar, Black Hair with Ears, Yellow Dog face",DUPLO,Basic Set,1994,3,,0.59
2327pb13,"Duplo 2 x 2 x 2 Figure Brick, Blue Base with Yellow Argyle Sweater Pattern, Yellow Head with Moustache, Light Gray Male Hair",DUPLO,Basic Set,1994,4,,0.26
2327pb14,"Duplo 2 x 2 x 2 Figure Brick, Red Base with White Collar and Pink Buttons, White Head with Eyelashes, Brown Female Hair",DUPLO,Basic Set,1991,1,,0.5
2327pb15,"Duplo 2 x 2 x 2 Figure Brick, Cat, Light gray base with red collar, light gray hair, white face",DUPLO,Basic Set,1991,4,1.01,0.59
2327pb16,"Duplo 2 x 2 x 2 Figure Brick, Red Base with Red Stripe Overalls, Red Hair, Large Eyes",DUPLO,Basic Set,1994,7,0.95,0.33
2327pb17,"Duplo 2 x 2 x 2 Figure Brick, Green Base with Brown Overalls, Brown Hair, White Head",DUPLO,Basic Set,1991,8,,0.29
2327pb18,"Duplo 2 x 2 x 2 Figure Brick, Clown, White Base, Green Bow with Red Dots, Black Hair, White Face with Red Nose",DUPLO,Basic Set,1995,3,,0.2
2327pb19,"Duplo 2 x 2 x 2 Figure Brick, Clown, Blue Base with Button Suspenders, White Head, Red Male Hair",DUPLO,Basic Set,1995,2,,0.22
2327pb20,"Duplo 2 x 2 x 2 Figure Brick, Blue Base with suspenders, yellow head with smile and freckles above nose, red male hair",DUPLO,Basic Set,1993,10,1.01,0.21
2327pb21,"Duplo 2 x 2 x 2 Figure Brick, Dog, Fabuland Brown Base with Yellow Scarf, Brown Hair with Ears, White Dog Face",DUPLO,Basic Set,1991,2,,0.25
2327pb22,"Duplo 2 x 2 x 2 Figure Brick, Green Base with Brown Overalls, Brown Hair, Yellow Head",DUPLO,Basic Set,1994,6,0.95,0.35
2327pb23,"Duplo 2 x 2 x 2 Figure Brick, Grandmother, Green Base, Gray Hair, White Head, Yellow Collar with Flower",DUPLO,Basic Set,1991,2,,0.44
2327pb24,"Duplo 2 x 2 x 2 Figure Brick, Clown, Green Base, Yellow Collar with Green Dots, White Head, Red Hair",DUPLO,Basic Set,1991,2,,0.85
2327pb25,"Duplo 2 x 2 x 2 Figure Brick, Clown, Green Base with White Collar, Yellow Head with Red Nose, Red Hair",DUPLO,Basic Set,1994,2,,2.84
2327pb26,"Duplo 2 x 2 x 2 Figure Brick, Red Base with Yellow Bow, White Head with Eyelashes and Freckles, Yellow Hair",DUPLO,Basic Set,1991,4,,0.22
2327pb27,"Duplo 2 x 2 x 2 Figure Brick, Black Base with Police Pattern, Yellow Head, Brown Male Hair",DUPLO,Basic Set,1994,1,,0.22
2327pb28,"Duplo 2 x 2 x 2 Figure Brick, Red Base With Yellow and Red Polka Dot Scarf, White Face with Eyelashes, Black Female Hair",DUPLO,Basic Set,1991,4,,0.48
2327pb29,"Duplo 2 x 2 x 2 Figure Brick, Black Base with Two Buttons, Gray Hair, White Face with Moustache",DUPLO,Basic Set,1991,3,3.3,0.79
2327pb30,"Duplo 2 x 2 x 2 Figure Brick, Dog, Dark Orange Base with Green Scarf, Brown Hair with Ears, Yellow Dog Face",DUPLO,Basic Set,1994,4,,0.67
2327pb31,"Duplo 2 x 2 x 2 Figure Brick, Cat, Light Gray Base With Red Collar, Light Gray Hair With Ears, Yellow Face with Round Eyes and 2 Whiskers",DUPLO,Basic Set,1994,1,,1.13
2327pb33,"Duplo 2 x 2 x 2 Figure Brick, Black Base with Police Pattern, White Head with Moustache, Brown Male Hair",DUPLO,Basic Set,1991,1,,0.54
2327pb34,"Duplo 2 x 2 x 2 Figure Brick, Dog, Black Base with Collar, Black Hair with Ears, White Dog Face",DUPLO,Basic Set,1991,1,,1.41
2327pb35,"Duplo 2 x 2 x 2 Figure Brick, Red Base with Number 1 Race Pattern, White Head, Brown Male Hair",DUPLO,Basic Set,1991,1,,0.3
2661,"Minnie Mouse Figure with Red Dress, Yellow Sleeves, and Red Shoes",Disney's Mickey Mouse,General,2000,3,10.47,6.55
27383pb01,"Duplo Figure, Disney Princess, Chip Potts (Duplo Utensil Cup with Stud Inside)",DUPLO,Disney / Disney Princess / Beauty and the Beast,2018,2,1.8,2.11
30598pb01,Freeze,Racers,Xalax,2001,1,0.25,0.24
30598pb02,Shredd,Racers,Xalax,2001,1,0.09,0.17
30598pb03,Scratch,Racers,Xalax,2001,1,0.22,0.32
30598pb04,Lightor / Subzero,Racers,Xalax,2001,3,3.33,0.16
30598pb05,Snake,Racers,Xalax,2001,1,,0.16
30598pb06,Gear,Racers,Xalax,2001,1,0.51,0.42
30598pb07,Duster,Racers,Xalax,2001,1,,0.38
30598pb08,Ghost,Racers,Xalax,2001,1,,18.27
30599pb01,Chill,Racers,Xalax,2001,1,0.46,0.41
30599pb02,Surfer,Racers,Xalax,2001,1,0.65,0.35
30599pb03,Warrior,Racers,Xalax,2001,1,1.37,0.22
30599pb04,Spiky,Racers,Xalax,2001,1,0.14,0.22
30599pb05,Rip,Racers,Xalax,2001,1,,0.32
30599pb06,Pulse,Racers,Xalax,2001,1,0.1,0.5
