set,id
525.0,pln067
535.0,hor018
535.0,pln062
545.0,hor019
545.0,ncklc010
725.0,trn251
1029.0,pln089
1040.0,4555pb099
1040.0,4555pb086
1068.0,oct021
1069.0,trn092
1070.0,pln070
1094.0,adv041
1095.0,aqu008
1096.0,oct031
1097.0,rsq014
1098.0,ext006
1100.0,stu011
1100.0,twn022
1106.2,oct033
1166.0,baby014
1177.0,hol008
1180.0,spp001
1181.0,spp016
1188.0,oct040
1189.0,jstr010
1190.0,oct043
1191.0,jstr007
1192.0,baby014
1193.0,4555pb057
1193.0,4555pb068
1195.0,lom013
1195.0,lom012
1196.0,pln165
1197.0,tel003
1197.0,tel002
1197.0,pln165
1198.0,tel004
1198.0,pln165
1199.0,pln104
1199.0,pln095
1199.0,pln165
1199.0,pln094
1202.0,30598pb04
1239.0,30598pb04
1247.0,cop026
1248.0,firec015
1249.0,doc017
1250.0,shell006
1251.0,shell007
1252.0,shell008
1253.0,shell008
1254.0,par024
1254.0,shell011
1254.0,shell009
1255.0,shell008
1255.0,twn001
1256.0,twn003
1256.0,shell006
1261.0,31234pb02
1261.0,31233pb02
1265.0,spp001
1266.0,spp016
1269.0,cas058
1271.0,adv044
1272.0,twn002
1273.0,twn010
1274.0,rck004
1275.0,rck002
1276.0,rck003
1277.0,rck005
1279.0,adv020
1281.0,adv014
1282.0,twn002
1283.0,twn010
1284.0,rac020
1285.0,twn005a
1287.0,cas246
1288.0,cas248
1289.0,cas044
1294.0,twn038
1295.0,ext019
1296.0,con006
1297.0,cop041
1349.0,stu013a
1349.0,stu010
1349.0,stu005
1349.0,stu009
1349.0,rsq015
1351.0,stu005
1351.0,stu008
1352.0,stu008
1353.0,stu008
1354.0,stu005
1354.0,stu006
1356.0,stu003
1362.0,stu011
1363.0,stu015
1370.0,stu012
1371.0,stu009
1374.0,spd005a
1374.0,spd004
1376.0,stu009
1376.0,spd002
1376.0,cop025
1376.0,spd001a
1380.0,hrf002
1380.0,hrf011
1380.0,hrf006
1381.0,hrf002
1381.0,hrf010
1381.0,hrf012
1381.0,hrf005
1382.0,hrf001
1382.0,hrf002
1382.0,hrf003
1382.0,hrf004
1383.0,hrf007
1403.0,4555pb083
1404.0,4555pb141
1405.0,4555pb065
1406.0,6453pb024
1411.0,pi002
1413.0,lom013
1414.0,lom018
1415.0,lom001
1416.0,lom002
1423.0,stu011
1424.0,stu015
1425.0,alp017a
1426.0,alp023
1427.0,alp020
1428.0,soc089
1430.0,soc085
1435.0,js026
1436.0,js008
1437.0,js027
1463.0,cas114
1475.0,zip027
1477.0,s005
1480.0,cas148
1491.0,cas142
1540.0,4555pb163
1547.0,cas174
1547.0,cas157
1560.0,zip023
1562.0,pln047
1563.0,pln006
1581.2,jred024
1583.0,2327pb24
1583.0,2327pb21
1596.0,cas234
1614.0,4555pb093
1624.0,cas235
1656.0,firec016
1665.0,pln010
1673.0,4555pb079
1680.0,cas133
1680.0,cas128
1680.0,cas323
1682.0,pln0010
1682.0,but007
1687.0,jred012
1687.0,pln005
1695.0,cas114
1702.0,firec006
1704.0,sp019
1710.0,jbr008
1713.0,pi028
1730.0,jbr008
1733.0,pi028
1735.0,2327pb26
1736.0,cas019
1737.0,sp012
1740.0,pck009
1741.0,pln045
1742.0,jbr010
1746.0,cas019
1747.0,pi033
1750.0,zip039
1752.0,cas066
