stevilka,ime,tema,podtema,leto,st_kock,st_minifigur,dostopnost,msrp,vrednost
22.3,Value Pack Italy,Promotional,Value Packs,1995,91,0,Retired,21.55,82.55
23.2,Value Pack Italy,Town,Value Packs,1995,161,0,Retired,13.17,274.37
54.0,UFO Action Pack,Space,UFO,1997,96,0,Retired,7.03,113.42
100.0,Stores Minifigure,Promotional,LEGO Brand Stores,2019,1,1,Retired,,48.26
315.0,Basic Building Set,Basic,,1990,62,0,Retired,,9.29
325.0,Basic Building Set,Basic,,1990,104,1,Retired,,38.53
335.0,Basic Building Set,Basic,,1990,99,0,Retired,,
345.2,Small Play Bucket,Basic,,1993,131,0,Retired,14.95,50.55
365.2,Basic Building Set,Basic,,1990,337,1,Retired,,68.37
385.2,Basic Building Set,Basic,,1990,438,2,Retired,,
395.2,Build-N-Store Chest,Basic,,1990,535,0,Retired,,
515.0,Basic Building Set,Basic,,1990,111,0,Retired,,14.07
525.0,Basic Building Set,Basic,,1990,181,1,Retired,,105.51
535.0,Basic Building Set,Basic,,1990,345,2,Retired,,36.63
545.0,Basic Building Set,Basic,,1990,408,2,Retired,,63.99
565.2,Basic Building Set,Basic,,1990,364,2,Retired,,176.94
620.3,Blue Building Plate,Bricks and More,,2010,1,0,Retired,6.99,7.97
624.0,"Basic Motor, 9V",Basic,Supplementaries,1996,27,0,Retired,22.87,34.73
626.0,"Building Plate, Green",Basic,Supplementaries,1996,1,0,Retired,6.99,6.58
627.0,Blue Building Plate,Basic,Supplementaries,1996,1,0,Retired,4.83,12.71
628.0,X-Large Baseplate Grey,Basic,Supplementaries,1996,1,0,Retired,14.99,14.34
629.0,Three Building Plates,Basic,Supplementaries,1996,3,0,Retired,4.83,13.53
630.0,"Brick Separator, Green",Basic,Supplementaries,1996,1,0,Retired,2.49,3.51
630.3,Brick Separator,Bricks and More,Accessories,2011,1,0,Retired,2.49,3.12
631.0,Doors and Windows,Basic,Supplementaries,1996,52,0,Retired,6.59,17.49
632.0,Wheels and Tyres,Basic,Supplementaries,1996,60,0,Retired,6.59,9.5
633.0,Roof Tiles,Basic,Supplementaries,1996,50,0,Retired,6.59,12.91
634.0,Extra Bricks in Red,Basic,Supplementaries,1996,62,0,Retired,6.59,12.02
635.0,Extra Bricks in White,Basic,Supplementaries,1996,62,0,Retired,6.59,11.58
636.0,Pull Back Motor,Basic,Supplementaries,1996,14,0,Retired,5.71,7.52
637.0,Play Table,Basic,Supplementaries,1996,3,0,Retired,39.59,280.79
638.0,Lots of Extra Basic Bricks,Basic,Supplementaries,1996,404,0,Retired,17.59,
639.0,Lots of Extra Basic Bricks,Basic,Supplementaries,1996,400,0,Retired,17.38,48.04
715.0,Basic Building Set,Basic,,1990,395,0,Retired,15.83,92.24
725.0,Basic Building Set,Basic,,1990,319,2,Retired,,215.27
735.0,Basic Building Set,Basic,,1990,537,0,Retired,,425.72
818.0,Red Pull-Back Motor,Basic,Supplementaries,1990,8,0,Retired,10.78,12.57
819.0,Blue Baseplate,Basic,Supplementaries,1991,1,0,Retired,4.83,14.37
821.0,"Brick Separator, Grey",Basic,Supplementaries,1990,1,0,Retired,1.98,3.04
845.0,"Battery Motor, 9V",Basic,Supplementaries,1992,27,0,Retired,11.43,27.9
846.0,"Lighting Set, 9V",Basic,Supplementaries,1992,39,0,Retired,15.83,48.77
1029.0,Milk Delivery Truck,Town,Promotional,1999,95,1,Retired,,186.68
1040.0,Farm,Dact,Duplo,1991,89,4,Retired,,61.59
1054.0,Stena Line Ferry,Promotional,Ferries,1999,212,0,Retired,,158.77
1061.0,Single Disc Pack,Technic,Slizer,1999,1,0,Retired,,20.03
1068.0,Air Patrol,Town,Extreme Team,1999,20,1,Retired,2.19,18.94
1069.0,Speedboat,Town,Res-Q,1999,22,1,Retired,2.63,20.76
1070.0,Stunt Flyer,Town,Extreme Team,1999,20,1,Retired,2.63,9.08
1076.0,Advent Calendar,Basic,Seasonal,1999,229,1,Retired,17.59,78.1
1086.0,Bulk Bucket,Duplo,Building Sets,2000,48,0,Retired,13.19,15.04
1088.0,Road Burner,Town,Extreme Team,1999,25,0,Retired,2.19,7.7
1094.0,Johnny Thunder,Adventurers,Egypt,1999,13,1,Retired,3.51,148.01
1095.0,Super Sub,Aquazone,Hydronauts,1999,24,1,Retired,2.63,21.59
1096.0,Race Buggy,Town,Extreme Team,1999,23,1,Retired,2.19,73.46
1097.0,Res-Q Runner,Town,Res-Q,1999,18,1,Retired,1.75,13.46
1098.0,Hang Glider,Town,Extreme Team,1999,19,1,Retired,2.19,10.55
1099.0,Ninja Blaster,Castle,Ninja,1999,24,1,Retired,1.75,52.8
1100.0,Sky Pirates,Town,Promotional,2001,109,2,Retired,14.95,48.33
1106.2,Basic Building Set,Basic,,1999,411,2,Retired,21.99,86.0
1127.0,Santa,Seasonal,Christmas,1999,39,0,Retired,,13.31
1128.0,Santa on Skis,Seasonal,Christmas,1999,21,0,Retired,1.75,11.25
1129.0,Santa on Reindeer,Seasonal,Christmas,1999,34,0,Retired,1.75,4.92
1149.0,Air Police,Town,Promotional,2002,24,0,Retired,2.63,7.06
1166.0,Stack-n-Learn,Duplo,,2003,42,2,Retired,17.59,170.49
1177.0,Santa's Truck,Town,Promotional,2000,27,1,Retired,,90.77
1180.0,Space Port Moon Buggy,Town,Space Port,1999,25,1,Retired,1.75,23.88
1181.0,Space Port Spacecraft,Town,Space Port,1999,23,1,Retired,1.75,22.75
1182.0,Adventurers Raft,Adventurers,Egypt,1999,18,1,Retired,1.75,23.25
1183.0,Mummy and Cart,Adventurers,Egypt,1999,17,1,Retired,2.19,36.28
1184.0,Cart,Castle,Ninja,1999,24,1,Retired,1.75,40.73
1185.0,Raft,Castle,Ninja,1999,25,1,Retired,1.75,19.35
1186.0,Cart,Castle,Ninja,1999,25,1,Retired,1.75,20.97
1187.0,Glider,Castle,Ninja,1999,23,1,Retired,1.75,20.5
1188.0,Fire Formula,Town,Extreme Team,1999,38,1,Retired,3.95,16.49
1189.0,Rocket Boat,Town,Extreme Team,1999,30,1,Retired,3.95,13.84
1190.0,Retro Buggy,Town,Extreme Team,1999,45,1,Retired,3.95,13.89
1191.0,Try Bird,Town,Extreme Team,1999,34,1,Retired,3.95,10.08
1192.0,Stack N' Learn Gift Box,Primo,,1999,38,2,Retired,17.59,101.18
1193.0,Water Park Tub,Duplo,,1999,44,2,Retired,17.59,127.05
1194.0,Birthday Table Set,Classic,,1999,400,0,Retired,17.59,69.7
1195.0,Alien Encounter,Space,Life On Mars,2001,42,2,Retired,,13.96
1196.0,Telekom Race Cyclist,Town,Telekom,2000,7,1,Retired,1.75,21.87
1197.0,Telekom Race Cyclist and Television Motorbike,Town,Telekom,2000,26,4,Retired,2.63,79.2
1198.0,Telekom Race Cyclists and Service Crew,Town,Telekom,2000,81,3,Retired,8.79,45.1
1199.0,Telekom Race Cyclists and Winners' Podium,Town,Telekom,2000,129,8,Retired,11.43,118.36
1202.0,Single Racers Figure Pack,Racers,Xalax,2001,1,0,Retired,,
1237.0,Asimo Robot,Technic,,2001,56,0,Retired,,30.69
1239.0,Subzero,Racers,Xalax,2001,4,1,Retired,1.75,17.12
1246.0,Helicopter,Town,City,1999,26,1,Retired,1.5,15.87
1247.0,Patrol Car,Town,City,1999,32,1,Retired,1.5,9.79
1248.0,Fire Boat,Town,City,1999,24,1,Retired,1.5,9.18
1249.0,Tri-motorbike,Town,City,1999,14,1,Retired,1.5,14.95
1250.0,Dragster,Town,City,1999,25,1,Retired,1.5,11.11
1251.0,Go-Cart,Town,City,1999,26,1,Retired,1.5,15.58
1252.0,Shell Tanker,Town,Shell,1999,107,1,Retired,6.15,70.37
1253.0,Shell Race Car Transporter,Town,Shell,1999,102,1,Retired,5.5,21.97
1254.0,Shell Convenience Store,Town,Shell,1999,159,3,Retired,11.43,35.2
1255.0,Shell Car Wash,Town,Shell,1999,137,2,Retired,11.43,48.2
1256.0,Shell Service Station,Town,Shell,1999,144,2,Retired,17.59,44.2
1257.0,Tricycle,Technic,,1999,24,0,Retired,,9.79
1258.0,Buggy,Technic,,1999,29,0,Retired,,15.46
1259.0,Motorbike,Technic,,1999,28,0,Retired,,8.58
1260.0,Car,Technic,,1999,26,0,Retired,,14.19
1261.0,Tea With Bumble Bee,Duplo,Little Forest Friends,2000,10,2,Retired,4.39,35.17
1263.0,Easter Bunny,Seasonal,Easter,2000,27,0,Retired,2.63,8.83
1264.0,Easter Chicks,Seasonal,Easter,2000,26,0,Retired,,8.55
